damage_type,damage_severity,incident_clarity,incident_type,user_at_fault,is_gradual_wear,has_police_report,emotional_tone,device_functional,third_party_involved,row_idx
screen_crack,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,24
water_damage,moderate,moderate,water,True,False,not_applicable,matter_of_fact,partial,False,25
screen_crack,minor,moderate,drop,True,False,not_applicable,matter_of_fact,True,False,26
theft,severe,moderate,theft,False,False,False,frustrated,False,True,27
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,28
screen_shatter,moderate,moderate,drop,True,False,False,matter_of_fact,partial,False,29
software_issue,minor,moderate,gradual_wear,False,True,not_applicable,matter_of_fact,partial,False,30
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,31
other,minor,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,32
screen_crack,moderate,moderate,impact,False,False,not_applicable,matter_of_fact,partial,False,33
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,34
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,35
theft,severe,vague,theft,False,False,True,matter_of_fact,False,True,36
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,37
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,38
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,39
screen_crack,moderate,vague,impact,True,False,not_applicable,neutral,partial,False,40
multiple_damage,severe,vague,drop,True,False,not_applicable,matter_of_fact,False,False,41
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,42
screen_crack,moderate,moderate,drop,True,False,not_applicable,frustrated,partial,False,43
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,44
screen_crack,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,45
screen_shatter,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,46
screen_crack,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,47
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,48
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,49
screen_crack,moderate,detailed,impact,True,False,not_applicable,matter_of_fact,partial,False,50
screen_crack,minor,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,51
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,52
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,53
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,54
screen_crack,moderate,detailed,impact,True,False,not_applicable,matter_of_fact,partial,False,55
screen_crack,moderate,vague,impact,True,False,not_applicable,matter_of_fact,partial,False,56
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,57
multiple_damage,moderate,vague,crush,True,False,not_applicable,matter_of_fact,partial,False,58
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,59
multiple_damage,moderate,moderate,impact,True,False,not_applicable,matter_of_fact,partial,False,60
screen_crack,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,61
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,62
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,63
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,64
multiple_damage,severe,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,65
screen_crack,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,66
other,severe,vague,crush,False,False,not_applicable,matter_of_fact,False,True,67
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,68
screen_crack,moderate,detailed,impact,False,False,not_applicable,matter_of_fact,partial,True,69
screen_shatter,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,70
water_damage,severe,moderate,water,False,False,not_applicable,frustrated,False,True,71
screen_shatter,severe,detailed,drop,False,False,not_applicable,matter_of_fact,False,True,72
screen_crack,moderate,detailed,drop,False,False,not_applicable,matter_of_fact,partial,True,73
screen_shatter,severe,moderate,drop,True,False,not_applicable,frustrated,False,False,74
screen_crack,minor,vague,impact,True,False,not_applicable,matter_of_fact,partial,False,75
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,76
screen_shatter,severe,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,77
screen_shatter,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,78
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,79
theft,severe,vague,theft,False,False,not_applicable,distressed,False,True,80
screen_damage,moderate,detailed,impact,True,False,not_applicable,matter_of_fact,partial,False,81
total_loss,severe,moderate,drop,True,False,not_applicable,distressed,False,False,82
screen_crack,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,83
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,84
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,85
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,86
screen_crack,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,87
screen_crack,moderate,detailed,impact,True,False,not_applicable,matter_of_fact,partial,False,88
screen_shatter,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,89
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,True,90
screen_crack,moderate,detailed,drop,False,False,not_applicable,matter_of_fact,partial,True,91
screen_crack,moderate,detailed,drop,True,False,not_applicable,neutral,partial,False,92
screen_crack,moderate,moderate,impact,True,False,not_applicable,matter_of_fact,partial,True,93
other,unknown,detailed,drop,True,False,not_applicable,matter_of_fact,unknown,False,94
screen_crack,minor,moderate,crush,True,False,not_applicable,matter_of_fact,partial,False,95
screen_crack,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,96
other,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,97
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,98
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,99
theft,severe,detailed,theft,False,False,not_applicable,matter_of_fact,False,True,100
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,101
screen_damage,moderate,moderate,impact,False,False,not_applicable,matter_of_fact,partial,True,102
total_loss,severe,moderate,crush,False,False,not_applicable,matter_of_fact,False,True,103
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,104
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,105
screen_shatter,severe,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,106
screen_crack,minor,moderate,drop,True,False,not_applicable,matter_of_fact,partial,True,107
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,108
screen_crack,moderate,vague,unknown_cause,False,False,not_applicable,matter_of_fact,partial,False,109
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,110
screen_shatter,severe,moderate,drop,True,False,not_applicable,frustrated,partial,False,111
multiple_damage,moderate,moderate,impact,True,False,not_applicable,matter_of_fact,partial,False,112
screen_shatter,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,113
screen_crack,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,114
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,115
screen_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,116
screen_crack,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,117
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,118
multiple_damage,severe,vague,drop,True,False,not_applicable,matter_of_fact,False,False,119
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,120
multiple_damage,severe,moderate,drop,True,False,not_applicable,frustrated,False,False,121
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,122
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,123
water_damage,moderate,detailed,water,False,False,not_applicable,neutral,partial,True,124
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,125
screen_crack,minor,moderate,crush,True,False,not_applicable,matter_of_fact,partial,False,126
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,127
screen_crack,moderate,detailed,impact,True,False,not_applicable,matter_of_fact,partial,True,128
screen_shatter,severe,moderate,drop,False,False,not_applicable,matter_of_fact,partial,True,129
screen_crack,minor,detailed,drop,True,False,not_applicable,neutral,partial,False,130
screen_crack,moderate,moderate,drop,True,False,not_applicable,frustrated,partial,False,131
screen_crack,severe,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,132
screen_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,133
other,moderate,vague,unknown_cause,False,True,not_applicable,frustrated,partial,False,134
multiple_damage,severe,detailed,impact,False,False,not_applicable,matter_of_fact,False,True,135
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,136
screen_shatter,severe,moderate,drop,True,False,not_applicable,frustrated,False,False,137
multiple_damage,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,138
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,139
screen_damage,minor,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,140
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,141
screen_crack,moderate,moderate,crush,True,False,not_applicable,frustrated,partial,False,142
total_loss,severe,detailed,crush,True,False,not_applicable,frustrated,False,False,143
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,144
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,145
theft,severe,vague,theft,False,False,False,frustrated,False,True,146
screen_crack,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,147
screen_crack,minor,moderate,impact,True,False,not_applicable,matter_of_fact,partial,False,148
other,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,149
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,150
screen_shatter,severe,moderate,impact,True,False,not_applicable,matter_of_fact,False,True,151
screen_crack,severe,moderate,unknown_cause,True,False,not_applicable,matter_of_fact,partial,False,152
multiple_damage,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,153
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,154
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,155
multiple_damage,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,156
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,157
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,158
total_loss,severe,detailed,crush,True,False,not_applicable,matter_of_fact,False,True,159
multiple_damage,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,160
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,161
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,162
multiple_damage,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,163
screen_shatter,severe,vague,drop,True,False,not_applicable,matter_of_fact,False,False,164
screen_shatter,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,165
screen_crack,moderate,detailed,impact,False,False,not_applicable,matter_of_fact,partial,True,166
cosmetic_scratch,minor,detailed,drop,True,False,not_applicable,matter_of_fact,True,False,167
multiple_damage,severe,detailed,water,True,False,not_applicable,matter_of_fact,False,False,168
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,169
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,170
screen_shatter,severe,vague,crush,True,False,False,matter_of_fact,False,False,171
screen_crack,moderate,moderate,drop,True,False,not_applicable,apologetic,partial,False,172
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,173
multiple_damage,moderate,detailed,drop,True,True,not_applicable,matter_of_fact,partial,False,174
total_loss,severe,vague,crush,True,False,not_applicable,matter_of_fact,False,False,175
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,176
other,severe,detailed,crush,True,False,not_applicable,matter_of_fact,False,True,177
multiple_damage,moderate,moderate,drop,True,False,not_applicable,frustrated,partial,False,178
theft,severe,moderate,theft,False,False,not_applicable,matter_of_fact,False,True,179
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,180
screen_crack,moderate,vague,drop,True,False,not_applicable,frustrated,partial,False,181
screen_crack,minor,vague,unknown_cause,True,False,not_applicable,matter_of_fact,partial,False,182
screen_crack,moderate,moderate,impact,True,False,not_applicable,matter_of_fact,partial,False,183
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,184
other,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,185
multiple_damage,moderate,vague,unknown_cause,True,False,not_applicable,matter_of_fact,partial,False,186
screen_crack,moderate,moderate,impact,True,False,not_applicable,frustrated,partial,False,187
multiple_damage,severe,detailed,drop,True,False,not_applicable,frustrated,False,False,188
screen_shatter,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,189
screen_crack,minor,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,190
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,191
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,192
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,193
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,194
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,195
screen_crack,minor,moderate,impact,True,False,not_applicable,matter_of_fact,partial,False,196
screen_crack,minor,moderate,drop,True,False,not_applicable,apologetic,partial,False,197
camera_damage,moderate,vague,drop,True,False,False,frustrated,partial,False,198
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,199
screen_damage,severe,detailed,drop,True,False,not_applicable,neutral,partial,False,200
screen_crack,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,201
theft,severe,moderate,theft,False,False,False,matter_of_fact,False,True,202
theft,severe,moderate,theft,False,False,False,matter_of_fact,False,True,203
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,204
screen_shatter,severe,vague,drop,True,False,not_applicable,matter_of_fact,False,False,205
screen_damage,moderate,vague,unknown_cause,False,False,not_applicable,matter_of_fact,partial,False,206
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,207
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,208
software_issue,severe,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,209
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,210
screen_crack,minor,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,211
screen_crack,minor,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,212
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,213
other,unknown,vague,drop,True,False,False,matter_of_fact,False,False,214
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,215
screen_shatter,severe,moderate,unknown_cause,False,False,not_applicable,matter_of_fact,partial,False,216
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,217
screen_crack,severe,moderate,impact,True,False,not_applicable,matter_of_fact,False,False,218
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,219
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,220
multiple_damage,moderate,moderate,drop,True,False,not_applicable,frustrated,partial,True,221
screen_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,222
screen_shatter,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,223
screen_issue,minor,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,224
multiple_damage,severe,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,225
screen_crack,moderate,moderate,unknown_cause,True,False,not_applicable,matter_of_fact,partial,False,226
screen_crack,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,227
other,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,228
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,229
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,230
theft,severe,moderate,theft,False,False,False,frustrated,False,True,231
multiple_damage,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,232
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,233
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,234
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,235
screen_shatter,severe,vague,unknown_cause,True,False,not_applicable,matter_of_fact,False,False,236
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,237
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,238
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,239
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,240
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,241
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,242
other,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,243
screen_crack,moderate,detailed,impact,True,False,not_applicable,matter_of_fact,partial,True,244
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,245
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,246
total_loss,severe,detailed,water,True,False,not_applicable,matter_of_fact,False,False,247
multiple_damage,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,248
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,249
multiple_damage,moderate,moderate,drop,True,False,False,matter_of_fact,partial,False,250
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,251
multiple_damage,severe,detailed,crush,False,False,not_applicable,matter_of_fact,partial,True,252
other,unknown,vague,drop,True,False,not_applicable,matter_of_fact,unknown,True,253
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,254
battery_issue,minor,vague,water,False,False,not_applicable,matter_of_fact,partial,False,255
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,256
screen_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,257
screen_damage,severe,detailed,drop,False,False,not_applicable,matter_of_fact,partial,False,258
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,259
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,260
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,261
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,262
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,263
screen_crack,severe,moderate,other,True,False,not_applicable,neutral,False,False,264
multiple_damage,moderate,moderate,drop,True,False,not_applicable,frustrated,partial,False,265
multiple_damage,severe,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,266
total_loss,severe,moderate,crush,True,False,not_applicable,matter_of_fact,False,True,267
screen_shatter,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,268
screen_crack,moderate,moderate,impact,False,False,not_applicable,matter_of_fact,partial,True,269
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,270
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,271
camera_damage,moderate,vague,drop,True,False,not_applicable,frustrated,partial,False,272
multiple_damage,moderate,detailed,drop,True,False,not_applicable,frustrated,partial,False,273
screen_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,274
multiple_damage,severe,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,275
other,unknown,vague,drop,True,False,False,matter_of_fact,False,False,276
screen_shatter,severe,vague,unknown_cause,False,False,not_applicable,matter_of_fact,partial,False,277
screen_crack,moderate,vague,unknown_cause,True,False,not_applicable,matter_of_fact,partial,False,278
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,279
screen_crack,moderate,moderate,drop,True,False,not_applicable,apologetic,partial,False,280
water_damage,moderate,moderate,water,True,False,not_applicable,matter_of_fact,partial,False,281
screen_shatter,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,True,282
multiple_damage,moderate,moderate,drop,True,False,not_applicable,frustrated,partial,False,283
screen_shatter,severe,vague,drop,True,False,not_applicable,matter_of_fact,False,False,284
screen_crack,moderate,vague,drop,True,False,False,matter_of_fact,partial,False,285
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,286
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,287
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,288
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,289
screen_shatter,severe,vague,drop,True,False,not_applicable,matter_of_fact,False,False,290
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,291
other,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,292
multiple_damage,severe,moderate,impact,True,False,not_applicable,matter_of_fact,False,False,293
screen_crack,minor,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,294
screen_crack,minor,moderate,other,False,True,not_applicable,matter_of_fact,partial,False,295
multiple_damage,moderate,detailed,impact,False,False,not_applicable,matter_of_fact,partial,True,296
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,297
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,298
multiple_damage,moderate,detailed,drop,True,False,not_applicable,neutral,partial,False,299
multiple_damage,moderate,detailed,drop,True,False,not_applicable,apologetic,partial,False,300
camera_damage,moderate,moderate,impact,True,False,not_applicable,matter_of_fact,partial,False,301
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,302
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,303
battery_issue,severe,moderate,gradual_wear,False,True,not_applicable,matter_of_fact,False,False,304
theft,severe,moderate,theft,False,False,not_applicable,distressed,False,True,305
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,306
screen_shatter,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,307
multiple_damage,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,308
screen_crack,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,309
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,310
screen_shatter,severe,moderate,crush,False,False,not_applicable,matter_of_fact,False,True,311
screen_crack,severe,detailed,other,False,True,not_applicable,frustrated,partial,True,312
screen_crack,minor,moderate,crush,True,False,not_applicable,matter_of_fact,partial,False,313
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,314
screen_shatter,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,315
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,316
multiple_damage,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,317
multiple_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,318
other,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,319
theft,severe,moderate,theft,False,False,False,distressed,False,True,320
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,321
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,322
multiple_damage,moderate,vague,unknown_cause,False,False,not_applicable,frustrated,partial,False,323
theft,severe,detailed,theft,False,False,True,frustrated,False,True,324
screen_damage,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,325
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,326
screen_crack,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,327
screen_crack,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,328
water_damage,severe,vague,water,True,False,not_applicable,matter_of_fact,False,False,329
screen_crack,minor,moderate,unknown_cause,True,False,not_applicable,matter_of_fact,partial,False,330
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,331
multiple_damage,severe,moderate,other,False,True,not_applicable,frustrated,False,True,332
theft,severe,moderate,theft,False,False,not_applicable,matter_of_fact,False,True,333
camera_damage,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,334
screen_crack,moderate,moderate,impact,True,False,False,matter_of_fact,partial,False,335
other,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,False,False,336
screen_shatter,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,337
screen_crack,moderate,detailed,crush,True,False,not_applicable,matter_of_fact,partial,False,338
total_loss,severe,detailed,crush,True,False,False,matter_of_fact,False,True,339
software_issue,moderate,moderate,gradual_wear,False,True,not_applicable,matter_of_fact,partial,True,340
